,Intents,LLM Output,Correct Output,Step 1,Step 2,Step 3,Step 4,Step 5,Exact Match,Relaxed Match
0,Remove parental control from the network,define intent uniIntent: for endpoint('network') remove middlebox('parental control'),define intent uniIntent: for endpoint('network') remove middlebox('parental control'),1. Identify the network configuration action implied by the statement: to remove parental control from the network. ,"2. Determine the important Nile entities: 'parental control' and the 'network'. 3. 'parental control' is a value of the entity ""middlebox"", so we pair them together in Nile: middlebox('parental control'). 'network' is not a value of any Nile entity, but according to Rule 6, 'network' is a value of type ""endpoint"", which closest matches the value 'network'. We pair them together in Nile: endpoint('network'). ","4. Each Nile entity corresponds to one of the Nile operations in Rule 3. Since we want to remove the middlebox, it corresponds to the Nile operation ""remove"". Since the endpoint is not an origin or a destination, it corresponds to the Nile operation ""for"". ",5. We put the Nile expressions together and add the header. Nile translation: define intent uniIntent: for endpoint('network') remove middlebox('parental control'),[''],True,True
1,Do not allow people from dorms to access Instagram and YouTube,"define intent uniIntent: for group('dorms') block service('Instagram'), service('YouTube')","define intent uniIntent: for group('dorms') block service('Instagram'), service('YouTube')",1. Identify the network configuration action implied by the statement: to block access to Instagram and YouTube for people from dorms. ,"2. Determine the important Nile entities: 'people from dorms', 'Instagram', and 'YouTube'. 3. 'people from dorms' is not a value of any Nile entity, but according to Rule 7, 'dorms' is a value of type ""group"", which closest matches the value 'people from dorms'. We pair them together in Nile: group('dorms'). 'Instagram' is a value of the entity ""service"", so we pair them together in Nile: service('Instagram'). 'YouTube' is a value of the entity ""service"", so we pair them together in Nile: service('YouTube'). ","4. Each Nile entity corresponds to one of the Nile operations in Rule 3. Since we want to block the services, they both correspond to the Nile operation ""block"". Since the group is not an origin or a destination, it corresponds to the Nile operation ""for"". ","5. We put the Nile expressions together and add the header. Nile translation: define intent uniIntent: for group('dorms') block service('Instagram'), service('YouTube')",[''],True,True
2,Social media is blocked by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') block traffic('social media'),define intent uniIntent: for endpoint('university') add middlebox('firewall') block traffic('social media'),1. Identify the network configuration action implied by the statement: to add a firewall for the university that blocks social media. ,"2. Determine the important Nile entities: 'social media', 'University', and 'firewall'. 3. 'social media' is a value of the entity ""traffic"", so we pair them together in Nile: traffic('social media'). 'University' is not a value of any Nile entity, but according to Rule 6, 'university' is a value of type ""endpoint"", which closest matches the value 'University'. We pair them together in Nile: endpoint('university'). 'firewall' is a value of the entity ""middlebox"", so we pair them together in Nile: middlebox(""firewall""). ","4. Each Nile entity corresponds to one of the Nile operations in Rule 3. Since we want to add the middlebox, it corresponds to the Nile operation ""add"". Since we want to block the traffic, it corresponds to the Nile operation ""block"". Since the endpoint is not an origin or a destination, it corresponds to the Nile operation ""for"". ",5. We put the Nile expressions together and add the header. Nile translation: define intent uniIntent: for endpoint('university') add middlebox('firewall') block traffic('social media'),[''],True,True
3,Set a minimum bandwidth of 10 Mbps for guests,"define intent uniIntent: for endpoint('guests') set bandwidth('min', '10', 'mbps')","define intent uniIntent: for endpoint('guests') set bandwidth('min', '10', 'mbps')",1. Identify the network configuration action implied by the statement: to set a minimum bandwidth of 10 Mbps for guests. ,2. Determine the important Nile entities: a minimum bandwidth of 10 Mbps and 'guests'. ,"3. A bandwidth is defined by either zero or three parameters, in which case they are a ""qos_constraint"", a ""qos_value"", and a ""qos_unit"". The ""qos_constraint"" here is ""min"" because we want to set a minimum bandwidth, the ""qos_value"" here is ""10"", and the ""qos_unit"" is ""mbps"". We put them together in Nile: bandwidth('min', '10', 'mbps'). 'guests' is a value of the entity ""endpoint"", so we pair them together in Nile: endpoint('guests'). ","4. Each Nile entity corresponds to one of the Nile operations in Rule 3. A bandwidth is paired only with the operations ""set"" or ""unset"". Since we want to set the bandwidth, it corresponds to the Nile operation ""set"". Since the endpoint is not an origin or a destination, it corresponds to the Nile operation ""for"". ","5. We put the Nile expressions together and add the header. Nile translation: define intent uniIntent: for endpoint('guests') set bandwidth('min', '10', 'mbps')",True,True
4,Block all bittorrent traffic on the network,define intent uniIntent: from endpoint('network') block traffic('bittorrent'),define intent uniIntent: for endpoint('network') block traffic('bittorrent'),1. Identify the network configuration action implied by the statement: to block all bittorrent traffic on the network. ,"2. Determine the important Nile entities: 'bittorrent' (a traffic) and the network. 3. 'bittorrent' is a value of the entity ""traffic"", so we pair them together in Nile: traffic('bittorrent'). The network is not explicitly mentioned in the statement, but we can assume it refers to the entire network. According to Rule 6, 'network' is a value of type ""endpoint"", which closest matches the value 'network'. We pair them together in Nile: endpoint('network'). ","4. Each Nile entity corresponds to one of the Nile operations in Rule 3. Since the endpoint 'network' is an origin, it corresponds to the Nile operation ""from"". Since we want to block the traffic, it corresponds to the Nile operation ""block"". ",5. We put the Nile expressions together and add the header. Nile translation: define intent uniIntent: from endpoint('network') block traffic('bittorrent'),[''],False,False
5,Set a maximum quota of 500 MB per week for gaming traffic,"define intent uniIntent: set quota('max', '500', 'mb/wk') for traffic('gaming')","define intent uniIntent: for traffic('gaming') set quota('max', '500', 'mb/wk')",1. Identify the network configuration action implied by the statement: to set a maximum quota of 500 MB per week for gaming traffic. ,2. Determine the important Nile entities: a maximum quota of 500 MB per week (a quota) and gaming traffic (a traffic). ,"3. A quota is defined by three parameters, a ""qos_constraint"", a ""qos_value"", and a ""qos_unit"". The ""qos_constraint"" here is ""max"" because we want to set a maximum quota, the ""qos_value"" here is ""500"", and the ""qos_unit"" is ""mb/wk"". We put them together in Nile: quota('max', '500', 'mb/wk'). 'gaming traffic' is a value of the entity ""traffic"", so we pair them together in Nile: traffic('gaming'). ","4. Each Nile entity corresponds to one of the Nile operations in Rule 3. A quota is paired only with the operations ""set"" or ""unset"". Since we want to set the quota, it corresponds to the Nile operation ""set"". ","5. We put the Nile expressions together and add the header. Nile translation: define intent uniIntent: set quota('max', '500', 'mb/wk') for traffic('gaming')",False,True
6,Allow Netflix on the network for students only,define intent uniIntent: for endpoint('network') allow service('Netflix') for group('students'),define intent uniIntent: for group('students') allow service('Netflix'),1. Identify the network configuration action implied by the statement: to allow Netflix on the network for students only. ,"2. Determine the important Nile entities: 'Netflix', 'students', and the network. 3. 'Netflix' is a value of the entity ""service"", so we pair them together in Nile: service('Netflix'). 'students' is not a value of any Nile entity, but according to Rule 7, 'students' is a value of type ""group"", which closest matches the value 'students'. We pair them together in Nile: group('students'). The network is not explicitly mentioned, but we can assume it refers to the entire network. According to Rule 6, 'network' is a value of type ""endpoint"", which closest matches the value 'network'. We pair them together in Nile: endpoint('network'). ","4. Each Nile entity corresponds to one of the Nile operations in Rule 3. Since we want to allow the service, it corresponds to the Nile operation ""allow"". Since the service is not an origin or a destination, it corresponds to the Nile operation ""for"". ",5. We put the Nile expressions together and add the header. Nile translation: define intent uniIntent: for endpoint('network') allow service('Netflix') for group('students'),[''],False,True
7,University Housing monitors only the amount of traffic,define intent uniIntent: for endpoint('housing') traffic('amount of traffic'),define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),1. Identify the network configuration action implied by the statement: to configure University Housing to monitor only the amount of traffic. ,"2. Determine the important Nile entities: 'University Housing' (an endpoint) and 'amount of traffic' (a traffic). 3. 'University Housing' is not a value of any Nile entity, but according to Rule 6, 'housing' is a value of type ""endpoint"", which closest matches the value 'University Housing'. We pair them together in Nile: endpoint('housing'). 'amount of traffic' is a value of the entity ""traffic"", so we pair them together in Nile: traffic('amount of traffic'). ","4. Each Nile entity corresponds to one of the Nile operations in Rule 3. Since the endpoint is not an origin or a destination, it corresponds to the Nile operation ""for"". ",5. We put the Nile expressions together and add the header. Nile translation: define intent uniIntent: for endpoint('housing') traffic('amount of traffic'),[''],False,False
8,AIM chat and file transfering is allowed by the University firewall,"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('AIM chat'), service('file transferring')","define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('AIM chat'), service('file transfer')",1. Identify the network configuration action implied by the statement: to add a firewall for the university that allows AIM chat and file transferring. ,"2. Determine the important Nile entities: 'AIM chat', 'file transferring', 'University', and 'firewall'. 3. 'AIM chat' is a value of the entity ""service"", so we pair them together in Nile: service('AIM chat'). 'file transferring' is not a value of any Nile entity, but according to Rule 10, 'file transfer' is a value of type ""service"", which closest matches the value 'file transferring'. We pair them together in Nile: service('file transferring'). 'University' is not a value of any Nile entity, but according to Rule 6, 'university' is a value of type ""endpoint"", which closest matches the value 'University'. We pair them together in Nile: endpoint('university'). 'firewall' is a value of the entity ""middlebox"", so we pair them together in Nile: middlebox(""firewall""). ","4. Each Nile entity corresponds to one of the Nile operations in Rule 3. Since we want to add the middlebox, it corresponds to the Nile operation ""add"". Since we want to allow both the service ""AIM chat"" and the service ""file transferring"", they both correspond to the Nile operation ""allow"". Since the endpoint is not an origin or a destination, it corresponds to the Nile operation ""for"". ","5. We put the Nile expressions together and add the header. Nile translation: define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('AIM chat'), service('file transferring')",[''],False,True
9,Battlenet is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Battlenet'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Battlenet'),1. Identify the network configuration action implied by the statement: to add a firewall for the university that allows Battlenet. ,"2. Determine the important Nile entities: 'Battlenet', 'University', and 'firewall'. 3. 'Battlenet' is a value of the entity ""service"", so we pair them together in Nile: service('Battlenet'). 'University' is not a value of any Nile entity, but according to Rule 6, 'university' is a value of type ""endpoint"", which closest matches the value 'University'. We pair them together in Nile: endpoint('university'). 'firewall' is a value of the entity ""middlebox"", so we pair them together in Nile: middlebox(""firewall""). ","4. Each Nile entity corresponds to one of the Nile operations in Rule 3. Since we want to add the middlebox, it corresponds to the Nile operation ""add"". Since we want to allow the service 'Battlenet', it corresponds to the Nile operation ""allow"". Since the endpoint is not an origin or a destination, it corresponds to the Nile operation ""for"". ",5. We put the Nile expressions together and add the header. Nile translation: define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Battlenet'),[''],True,True
