,Intents,LLM Output,Correct Output,Step 1,Step 2,Step 3,Step 4,Step 5,Exact Match,Relaxed Match
0,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",define intent uniIntent: for group('students') if violation('copyright law') disable connection('room') send issue('Housing Student Judicial Affairs'),"define intent uniIntent: add middlebox('copyright monitoring') for group('students'), endpoint('dorms')",,,,,,False,False
1,"Currently, the University of Illinois does not have any rate limits set in place",define intent uniIntent: for endpoint('university') remove bandwidth('max'),define intent uniIntent: for endpoint('university') unset bandwidth(),,,,,,False,False
2,University Housing monitors only the amount of traffic,define intent uniIntent: for group('university housing') add middlebox('traffic monitoring'),define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),,,,,,False,False
3,CounterStrike server is blocked by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('CounterStrike server'),define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('CounterStrike'),,,,,,False,True
4,AIM chat and file transfering is allowed by the University firewall,"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('AIM chat'), service('file transfer')","define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('AIM chat'), service('file transfer')",,,,,,True,True
5,Battlenet is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Battlenet'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Battlenet'),,,,,,True,True
6,H323 video conferencing is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('H323 video conferencing'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow traffic('H323 video conferencing'),,,,,,False,False
7,Everquest is blocked by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('Everquest'),define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('Everquest'),,,,,,True,True
8,HTTP and HTTPS are allowed by the University firewall,"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('HTTP'), protocol('HTTPS')","define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('HTTP'), protocol('HTTPS')",,,,,,True,True
9,IMAP and secure IMAP are allowed by the University firewall,"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('IMAP'), service('secure IMAP')","define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('IMAP'), protocol('secure IMAP')",,,,,,False,False
