,Intents,LLM Output,Correct Output,Step 1,Step 2,Step 3,Step 4,Step 5,Exact Match,Relaxed Match
0,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",define intent uniIntent: for group('students') add middlebox('copyright monitoring') remove middlebox('traffic monitor') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middlebox('unit firewall') remove middlebox('load balancer') remove middlebox('parental control') remove middlebox('overuse notification') remove middlebox('firewall') remove middlebox('dpi') remove middlebox('ids') remove middlebox('ips') remove middlebox('network border system') remove middle,"define intent uniIntent: add middlebox('copyright monitoring') for group('students'), endpoint('dorms')",,,,,,False,False
1,"Currently, the University of Illinois does not have any rate limits set in place",define intent uniIntent: for endpoint('university') unset bandwidth,define intent uniIntent: for endpoint('university') unset bandwidth(),,,,,,False,False
2,University Housing monitors only the amount of traffic,define intent uniIntent: for endpoint('university') add middlebox('traffic monitor'),define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),,,,,,False,True
3,CounterStrike server is blocked by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('CounterStrike server'),define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('CounterStrike'),,,,,,False,True
4,AIM chat and file transfering is allowed by the University firewall,"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('AIM chat'), service('file transfer')","define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('AIM chat'), service('file transfer')",,,,,,True,True
5,Battlenet is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Battlenet'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Battlenet'),,,,,,True,True
6,H323 video conferencing is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow traffic('H323 video conferencing'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow traffic('H323 video conferencing'),,,,,,True,True
7,Everquest is blocked by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('Everquest'),define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('Everquest'),,,,,,True,True
8,HTTP and HTTPS are allowed by the University firewall,"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('http'), protocol('https')","define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('HTTP'), protocol('HTTPS')",,,,,,False,True
9,IMAP and secure IMAP are allowed by the University firewall,"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('IMAP'), protocol('secure IMAP')","define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('IMAP'), protocol('secure IMAP')",,,,,,True,True
