,Intents,LLM Output,Correct Output,Step 1,Step 2,Step 3,Step 4,Step 5,Exact Match,Relaxed Match
0,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",define intent uniIntent: for group('students') block endpoint('dorms'),"define intent uniIntent: add middlebox('copyright monitoring') for group('students'), endpoint('dorms')",Identify the network configuration action implied by the statement: to disable the room's connection if a student is in obvious violations of copyright law by using the wired connection to distribute copyrighted materials. ,"Determine the important Nile entities: 'student' (a group), a room's connection (an endpoint), 'copyright law' (a traffic), 'ResNet' (an endpoint), and 'Housing Student Judicial Affairs' (an endpoint). ","'student' is a ""group"", but it is not one of the possible values for the ""group"" entity, so we choose the one that closest matches in meaning: 'students'. We pair them together in Nile: group('students'). A room's connection is an ""endpoint"", but it is not one of the possible values for the ""endpoint"" entity, so we choose the one that closest matches in meaning: 'dorms'. We pair them together in Nile: endpoint('dorms'). 'copyright law' is a ""traffic"", but it is not one of the possible values for the ""traffic"" entity, so we choose the one that closest matches in meaning: 'copyright monitoring'. We pair them together in Nile: traffic('copyright monitoring'). 'ResNet' is an ""endpoint"", but it is not one of the possible values for the ""endpoint"" entity, so we choose the one that closest matches in meaning: 'network'. We pair them together in Nile: endpoint('network'). 'Housing Student Judicial Affairs' is an ""endpoint"", but it is not one of the possible values for the ""endpoint"" entity, so we choose the one that closest matches in meaning: 'students'. We pair them together in Nile: endpoint('students'). ","Each Nile entity corresponds to a Nile operation. Since we want to disable the room's connection, it corresponds to the Nile operation ""block"". A group always corresponds to the Nile operation ""for"". ",We put the Nile expressions together and add the header. Nile translation: define intent uniIntent: for group('students') block endpoint('dorms'),False,False
1,"Currently, the University of Illinois does not have any rate limits set in place",define intent uniIntent: for endpoint('university') check bandwidth('bandwidth'),define intent uniIntent: for endpoint('university') unset bandwidth(),Identify the network configuration action implied by the statement: to check if there are any rate limits set in place for the University of Illinois. ,Determine the important Nile entities: 'University of Illinois' (an endpoint) and 'rate limits' (a bandwidth). ,"'University of Illinois' is an ""endpoint"", but it is not one of the possible values for the ""endpoint"" entity, so we choose the one that closest matches in meaning: 'university'. We pair them together in Nile: endpoint('university'). 'rate limits' is a ""bandwidth"", but it is not one of the possible values for the ""bandwidth"" entity, so we choose the one that closest matches in meaning: 'bandwidth'. We pair them together in Nile: bandwidth('bandwidth'). ","Each Nile entity corresponds to a Nile operation. Since the endpoint is not an origin or a destination, it corresponds to the Nile operation ""for"". Since we want to check if there are any rate limits set, it corresponds to the Nile operation ""check"". ",We put the Nile expressions together and add the header. Nile translation: define intent uniIntent: for endpoint('university') check bandwidth('bandwidth'),False,False
2,University Housing monitors only the amount of traffic,define intent uniIntent: for endpoint('dorms') monitor traffic('amount of traffic'),define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),Identify the network configuration action implied by the statement: to configure University Housing to monitor only the amount of traffic. ,Determine the important Nile entities: 'University Housing' (an endpoint) and 'amount of traffic' (a traffic). ,"'University Housing' is an ""endpoint"", but it is not one of the possible values for the ""endpoint"" entity, so we choose the one that closest matches in meaning: 'dorms'. We pair them together in Nile: endpoint('dorms'). 'amount of traffic' is a value of the entity ""traffic"", so we pair them together in Nile: traffic('amount of traffic'). ","Each Nile entity corresponds to a Nile operation. Since the endpoint is neither an origin nor a destination, it corresponds to the Nile operation ""for"". ",We put the Nile expressions together and add the header. Nile translation: define intent uniIntent: for endpoint('dorms') monitor traffic('amount of traffic'),False,False
3,CounterStrike server is blocked by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('CounterStrike server'),define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('CounterStrike'),Identify the network configuration action implied by the statement: to add a firewall for the university that blocks the CounterStrike server. ,"Determine the important Nile entities: 'CounterStrike server' (a service), and 'University' (an endpoint). ","'CounterStrike server' is a value of the entity ""service"", so we pair them together in Nile: service('CounterStrike server'). 'University' is an ""endpoint"", but it is not one of the possible values for the ""endpoint"" entity, so we choose the one that closest matches in meaning: 'university'. We pair them together in Nile: endpoint('university'). ","Each Nile entity corresponds to a Nile operation. Since we want to add the firewall, it corresponds to the Nile operation ""add"". Since we want to block the service, it corresponds to the Nile operation ""block"". Since the endpoint is not an origin or a destination, it corresponds to the Nile operation ""for"". ",We put the Nile expressions together and add the header. Nile translation: define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('CounterStrike server'),False,True
4,AIM chat and file transfering is allowed by the University firewall,"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('AIM chat'), service('file transferring')","define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('AIM chat'), service('file transfer')",Identify the network configuration action implied by the statement: to add a firewall for the university that allows AIM chat and file transferring. ,"Determine the important Nile entities: 'AIM chat' (a service), 'file transferring' (a service), 'University' (an endpoint), and 'firewall' (a middlebox). ","'AIM chat' is a value of the entity ""service"", so we pair them together in Nile: service('AIM chat'). 'file transferring' is a value of the entity ""service"", so we pair them together in Nile: service('file transferring'). 'University' is an ""endpoint"", but it is not one of the possible values for the ""endpoint"" entity, so we choose the one that closest matches in meaning: 'university'. We pair them together in Nile: endpoint('university'). 'firewall' is a value of the entity ""middlebox"", so we pair them together in Nile: middlebox(""firewall""). ","Each Nile entity corresponds to a Nile operation. Since we want to add the middlebox, it corresponds to the Nile operation ""add"". Since we want to allow both the service ""AIM chat"" and the service ""file transferring"", they both correspond to the Nile operation ""allow"". Since the endpoint is neither an origin nor a destination, it corresponds to the Nile operation ""for"". ","We put the Nile expressions together and add the header. Nile translation: define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('AIM chat'), service('file transferring')",False,True
5,Battlenet is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Battlenet'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Battlenet'),Identify the network configuration action implied by the statement: to add a firewall for the university that allows Battlenet. ,"Determine the important Nile entities: 'Battlenet' (a service), 'University' (an endpoint), and 'firewall' (a middlebox). ","'Battlenet' is a value of the entity ""service"", so we pair them together in Nile: service('Battlenet'). 'University' is an ""endpoint"", but it is not one of the possible values for the ""endpoint"" entity, so we choose the one that closest matches in meaning: 'university'. We pair them together in Nile: endpoint('university'). 'firewall' is a value of the entity ""middlebox"", so we pair them together in Nile: middlebox(""firewall""). ","Each Nile entity corresponds to a Nile operation. Since we want to add the middlebox, it corresponds to the Nile operation ""add"". Since we want to allow the service ""Battlenet"", it corresponds to the Nile operation ""allow"". Since the endpoint is neither an origin nor a destination, it corresponds to the Nile operation ""for"". ",We put the Nile expressions together and add the header. Nile translation: define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Battlenet'),True,True
6,H323 video conferencing is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow traffic('H323 video conferencing'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow traffic('H323 video conferencing'),Identify the network configuration action implied by the statement: to add a firewall for the university that allows H323 video conferencing. ,"Determine the important Nile entities: 'H323 video conferencing' (a traffic), 'University' (an endpoint), and 'firewall' (a middlebox). ","'H323 video conferencing' is a value of the entity ""traffic"", so we pair them together in Nile: traffic('H323 video conferencing'). 'University' is an ""endpoint"", but it is not one of the possible values for the ""endpoint"" entity, so we choose the one that closest matches in meaning: 'university'. We pair them together in Nile: endpoint('university'). 'firewall' is a value of the entity ""middlebox"", so we pair them together in Nile: middlebox(""firewall""). ","Each Nile entity corresponds to a Nile operation. Since we want to add the middlebox, it corresponds to the Nile operation ""add"". Since we want to allow the traffic ""H323 video conferencing"", it corresponds to the Nile operation ""allow"". Since the endpoint is neither an origin nor a destination, it corresponds to the Nile operation ""for"". ",We put the Nile expressions together and add the header. Nile translation: define intent uniIntent: for endpoint('university') add middlebox('firewall') allow traffic('H323 video conferencing'),True,True
7,Everquest is blocked by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('Everquest'),define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('Everquest'),Identify the network configuration action implied by the statement: to add a firewall for the university that blocks Everquest. ,"Determine the important Nile entities: 'Everquest' (a service), 'University' (an endpoint), and 'firewall' (a middlebox). ","'Everquest' is a value of the entity ""service"", so we pair them together in Nile: service('Everquest'). 'University' is an ""endpoint"", but it is not one of the possible values for the ""endpoint"" entity, so we choose the one that closest matches in meaning: 'university'. We pair them together in Nile: endpoint('university'). 'firewall' is a value of the entity ""middlebox"", so we pair them together in Nile: middlebox(""firewall""). ","Each Nile entity corresponds to a Nile operation. Since we want to add the middlebox, it corresponds to the Nile operation ""add"". Since we want to block the service, it corresponds to the Nile operation ""block"". Since the endpoint is not an origin or a destination, it corresponds to the Nile operation ""for"". ",We put the Nile expressions together and add the header. Nile translation: define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('Everquest'),True,True
8,HTTP and HTTPS are allowed by the University firewall,"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('HTTP'), protocol('HTTPS')","define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('HTTP'), protocol('HTTPS')",Identify the network configuration action implied by the statement: to add a firewall for the university that allows HTTP and HTTPS. ,"Determine the important Nile entities: 'HTTP' (a protocol), 'HTTPS' (a protocol), 'University' (an endpoint), and 'firewall' (a middlebox). ","'HTTP' is a value of the entity ""protocol"", so we pair them together in Nile: protocol('HTTP'). 'HTTPS' is a value of the entity ""protocol"", so we pair them together in Nile: protocol('HTTPS'). 'University' is an ""endpoint"", but it is not one of the possible values for the ""endpoint"" entity, so we choose the one that closest matches in meaning: 'university'. We pair them together in Nile: endpoint('university'). 'firewall' is a value of the entity ""middlebox"", so we pair them together in Nile: middlebox(""firewall""). ","Each Nile entity corresponds to a Nile operation. Since we want to add the middlebox, it corresponds to the Nile operation ""add"". Since we want to allow both the protocol ""HTTP"" and the protocol ""HTTPS"", they both correspond to the Nile operation ""allow"". Since the endpoint is neither an origin nor a destination, it corresponds to the Nile operation ""for"". ","We put the Nile expressions together and add the header. Nile translation: define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('HTTP'), protocol('HTTPS')",True,True
9,IMAP and secure IMAP are allowed by the University firewall,"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('IMAP'), protocol('secure IMAP')","define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('IMAP'), protocol('secure IMAP')",Identify the network configuration action implied by the statement: to add a firewall for the university that allows IMAP and secure IMAP. ,"Determine the important Nile entities: 'IMAP' (a protocol), 'secure IMAP' (a protocol), 'University' (an endpoint), and 'firewall' (a middlebox). ","'IMAP' is a value of the entity ""protocol"", so we pair them together in Nile: protocol('IMAP'). 'secure IMAP' is a value of the entity ""protocol"", so we pair them together in Nile: protocol('secure IMAP'). 'University' is an ""endpoint"", but it is not one of the possible values for the ""endpoint"" entity, so we choose the one that closest matches in meaning: 'university'. We pair them together in Nile: endpoint('university'). 'firewall' is a value of the entity ""middlebox"", so we pair them together in Nile: middlebox(""firewall""). ","Each Nile entity corresponds to a Nile operation. Since we want to add the middlebox, it corresponds to the Nile operation ""add"". Since we want to allow both the protocol ""IMAP"" and the protocol ""secure IMAP"", they both correspond to the Nile operation ""allow"". Since the endpoint is neither an origin nor a destination, it corresponds to the Nile operation ""for"". ","We put the Nile expressions together and add the header. Nile translation: define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('IMAP'), protocol('secure IMAP')",True,True
10,"MSN audio and video are not allowed by the University firewall, but the MSN chat, application sharing and file transferring are not blocked","define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('MSN audio'), service('MSN video') allow service('MSN chat'), service('application sharing'), service('file transferring')","define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('MSN video'), service('MSN audio') allow service('MSN chat'), service('MSN application sharing'), service('file transfer')","Identify the network configuration action implied by the statement: to add a firewall for the university that blocks MSN audio and video, but does not block MSN chat, application sharing, and file transferring. ","Determine the important Nile entities: 'MSN audio' (a service), 'MSN video' (a service), 'MSN chat' (a service), 'application sharing' (a service), 'file transferring' (a service), 'University' (an endpoint), and 'firewall' (a middlebox). ","'MSN audio' is a value of the entity ""service"", so we pair them together in Nile: service('MSN audio'). 'MSN video' is a value of the entity ""service"", so we pair them together in Nile: service('MSN video'). 'MSN chat' is a value of the entity ""service"", so we pair them together in Nile: service('MSN chat'). 'application sharing' is a value of the entity ""service"", so we pair them together in Nile: service('application sharing'). 'file transferring' is a value of the entity ""service"", so we pair them together in Nile: service('file transferring'). 'University' is an ""endpoint"", but it is not one of the possible values for the ""endpoint"" entity, so we choose the one that closest matches in meaning: 'university'. We pair them together in Nile: endpoint('university'). 'firewall' is a value of the entity ""middlebox"", so we pair them together in Nile: middlebox(""firewall""). ","Each Nile entity corresponds to a Nile operation. Since we want to add the middlebox, it corresponds to the Nile operation ""add"". Since we want to block the services 'MSN audio' and 'MSN video', they both correspond to the Nile operation ""block"". Since we want to allow the services 'MSN chat', 'application sharing', and 'file transferring', they all correspond to the Nile operation ""allow"". Since the endpoint is neither an origin nor a destination, it corresponds to the Nile operation ""for"". ","We put the Nile expressions together and add the header. Nile translation: define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('MSN audio'), service('MSN video') allow service('MSN chat'), service('application sharing'), service('file transferring')",False,True
