,Intents,LLM Output,Correct Output,Step 1,Step 2,Step 3,Step 4,Step 5,Exact Match,Relaxed Match
0,Remove parental control from the network,define intent uniIntent: remove middlebox('parental control'),define intent uniIntent: for endpoint('network') remove middlebox('parental control'),,,,,,False,False
1,Do not allow people from dorms to access Instagram and YouTube,"define intent uniIntent: from endpoint('dorms') to endpoint('Instagram'), endpoint('YouTube') block traffic('any')","define intent uniIntent: for group('dorms') block service('Instagram'), service('YouTube')",,,,,,False,False
2,Social media is blocked by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') block category('social media'),define intent uniIntent: for endpoint('university') add middlebox('firewall') block traffic('social media'),,,,,,False,False
3,Set a minimum bandwidth of 10 Mbps for guests,"define intent uniIntent: for endpoint('guests') set bandwidth('min', '10', 'mbps')","define intent uniIntent: for endpoint('guests') set bandwidth('min', '10', 'mbps')",,,,,,True,True
4,Block all bittorrent traffic on the network,define intent uniIntent: for endpoint('network') add middlebox('firewall') block protocol('bittorrent'),define intent uniIntent: for endpoint('network') block traffic('bittorrent'),,,,,,False,False
5,Set a maximum quota of 500 MB per week for gaming traffic,"define intent uniIntent: for group('gamers') set quota('gaming', '500', 'mb/week')","define intent uniIntent: for traffic('gaming') set quota('max', '500', 'mb/wk')",,,,,,False,False
6,Allow Netflix on the network for students only,define intent uniIntent: for group('students') allow service('Netflix'),define intent uniIntent: for group('students') allow service('Netflix'),,,,,,True,True
7,University Housing monitors only the amount of traffic,define intent uniIntent: for endpoint('university housing') add middlebox('traffic monitoring'),define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),,,,,,False,True
8,AIM chat and file transfering is allowed by the University firewall,"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('AIM chat'), service('file transfer')","define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('AIM chat'), service('file transfer')",,,,,,True,True
9,Battlenet is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Battlenet'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Battlenet'),,,,,,True,True
10,H323 video conferencing is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('H323 video conferencing'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow traffic('H323 video conferencing'),,,,,,False,False
11,Everquest is blocked by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('Everquest'),define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('Everquest'),,,,,,True,True
12,HTTP and HTTPS are allowed by the University firewall,"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('HTTP'), protocol('HTTPS')","define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('HTTP'), protocol('HTTPS')",,,,,,True,True
13,"MSN audio and video are not allowed by the University firewall, but the MSN chat, application sharing and file transferring are not blocked","define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('MSN audio'), service('MSN video') allow service('MSN chat'), service('application sharing'), service('file transferring')","define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('MSN video'), service('MSN audio') allow service('MSN chat'), service('MSN application sharing'), service('file transfer')",,,,,,False,True
14,Net2Phone is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Net2Phone'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Net2Phone'),,,,,,True,True
15,PC-Telephone is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow application('PC-Telephone'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('PC Telephone'),,,,,,False,False
16,POP3 and secure POP are allowed by the University firewall,"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('POP3'), protocol('secure POP')","define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('POP3'), protocol('secure POP')",,,,,,True,True
17,SMTP is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('SMTP'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('SMTP'),,,,,,True,True
18,Sony Playstation 2 is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Sony Playstation 2'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Sony Playstation 2'),,,,,,True,True
19,SSH is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('SSH'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('SSH'),,,,,,True,True
