,Intents,LLM Output,Correct Output,Step 1,Step 2,Step 3,Step 4,Step 5,Exact Match,Relaxed Match
0,Remove parental control from the network,define intent uniIntent: remove middlebox('parental control'),define intent uniIntent: for endpoint('network') remove middlebox('parental control'),,,,,,False,False
1,Do not allow people from dorms to access Instagram and YouTube,"define intent uniIntent: from endpoint('dorms') block service('instagram'), service('youtube')","define intent uniIntent: for group('dorms') block service('Instagram'), service('YouTube')",,,,,,False,False
2,Social media is blocked by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') block traffic('social media'),define intent uniIntent: for endpoint('university') add middlebox('firewall') block traffic('social media'),,,,,,True,True
3,Set a minimum bandwidth of 10 Mbps for guests,"define intent uniIntent: for endpoint('guests') set bandwidth('min', '10', 'mbps')","define intent uniIntent: for endpoint('guests') set bandwidth('min', '10', 'mbps')",,,,,,True,True
4,Block all bittorrent traffic on the network,define intent uniIntent: for endpoint('network') add middlebox('firewall') block service('bittorrent'),define intent uniIntent: for endpoint('network') block traffic('bittorrent'),,,,,,False,False
5,Set a maximum quota of 500 MB per week for gaming traffic,"define intent uniIntent: set quota('download', '500', 'mb/wk') for traffic('gaming')","define intent uniIntent: for traffic('gaming') set quota('max', '500', 'mb/wk')",,,,,,False,True
6,Allow Netflix on the network for students only,define intent uniIntent: for group('students') allow service('netflix'),define intent uniIntent: for group('students') allow service('Netflix'),,,,,,False,True
7,University Housing monitors only the amount of traffic,define intent uniIntent: for middlebox('traffic monitor') set traffic('any'),define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),,,,,,False,False
8,AIM chat and file transfering is allowed by the University firewall,"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('AIM chat'), service('file transfer')","define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('AIM chat'), service('file transfer')",,,,,,True,True
9,Battlenet is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Battlenet'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Battlenet'),,,,,,True,True
10,H323 video conferencing is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow traffic('H323 video conferencing'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow traffic('H323 video conferencing'),,,,,,True,True
11,Everquest is blocked by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('Everquest'),define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('Everquest'),,,,,,True,True
12,HTTP and HTTPS are allowed by the University firewall,"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('HTTP'), protocol('HTTPS')","define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('HTTP'), protocol('HTTPS')",,,,,,True,True
13,"MSN audio and video are not allowed by the University firewall, but the MSN chat, application sharing and file transferring are not blocked","define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('MSN audio'), service('MSN video') allow service('MSN chat'), service('MSN application sharing'), service('file transfer')","define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('MSN video'), service('MSN audio') allow service('MSN chat'), service('MSN application sharing'), service('file transfer')",,,,,,False,True
14,Net2Phone is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Net2Phone'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Net2Phone'),,,,,,True,True
15,PC-Telephone is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('PC Telephone'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('PC Telephone'),,,,,,True,True
16,POP3 and secure POP are allowed by the University firewall,"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('POP3'), protocol('secure POP')","define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('POP3'), protocol('secure POP')",,,,,,True,True
