,Intents,Lumi Output,Correct Output,Equal
0,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs","define intent buildIntent: for group('students'), endpoint('dorms') add middlebox('copyright monitoring')","define intent buildIntent: add middlebox('copyright monitoring') for group('students'), endpoint('dorms')",True
1,"Currently, the University of Illinois does not have any rate limits set in place",define intent buildIntent: for endpoint('University of Illinois') unset bandwidth() set bandwidth(),define intent buildIntent: for endpoint('university') unset bandwidth(),True
2,University Housing monitors only the amount of traffic,define intent buildIntent: for endpoint('dorms') add middlebox('traffic monitor'),define intent buildIntent: for endpoint('dorms') add middlebox('traffic monitor'),True
3,CounterStrike server is blocked by the University firewall,define intent buildIntent: for endpoint('University') block service('CounterStrike server') add middlebox('firewall'),define intent buildIntent: for endpoint('university') add middlebox('firewall') block service('CounterStrike'),True
4,AIM chat and file transfering is allowed by the University firewall,"define intent buildIntent: for endpoint('University') allow service('AIM chat'), service('file transfer') add middlebox('firewall')","define intent buildIntent: for endpoint('university') add middlebox('firewall') allow service('AIM chat'), service('file transfer')",True
5,Battlenet is allowed by the University firewall,define intent buildIntent: for endpoint('University') allow service('Battlenet') add middlebox('firewall'),define intent buildIntent: for endpoint('university') add middlebox('firewall') allow service('Battlenet'),True
6,H323 video conferencing is allowed by the University firewall,define intent buildIntent: for endpoint('University') allow traffic('H323 video conferencing') add middlebox('firewall'),define intent buildIntent: for endpoint('university') add middlebox('firewall') allow traffic('H323 video conferencing'),True
7,Everquest is blocked by the University firewall,define intent buildIntent: for endpoint('University') block service('Everquest') add middlebox('firewall'),define intent buildIntent: for endpoint('university') add middlebox('firewall') block service('Everquest'),True
8,HTTP and HTTPS are allowed by the University firewall,"define intent buildIntent: for endpoint('University') allow protocol('HTTP'), protocol('HTTPS') add middlebox('firewall')","define intent buildIntent: for endpoint('university') add middlebox('firewall') allow protocol('HTTP'), protocol('HTTPS')",True
9,IMAP and secure IMAP are allowed by the University firewall,"define intent buildIntent: for endpoint('University') allow protocol('imap'), protocol('secure IMAP') add middlebox('firewall')","define intent buildIntent: for endpoint('university') add middlebox('firewall') allow protocol('IMAP'), protocol('secure IMAP')",True
10,"MSN audio and video are not allowed by the University firewall, but the MSN chat, application sharing and file transferring are not blocked","define intent buildIntent: for endpoint('University') allow service('MSN audio'), service('MSN video'), service('MSN chat'), service('MSN application sharing'), service('file transferring')  add middlebox('firewall')","define intent buildIntent: for endpoint('university') add middlebox('firewall') block service('MSN video'), service('MSN audio') allow service('MSN chat'), service('MSN application sharing'), service('file transfer')",False
11,Net2Phone is allowed by the University firewall,define intent buildIntent: for endpoint('University') allow service('Net2Phone') add middlebox('firewall'),define intent buildIntent: for endpoint('university') add middlebox('firewall') allow service('Net2Phone'),True
12,PC-Telephone is allowed by the University firewall,define intent buildIntent: for endpoint('University') allow service('PC Telephone') add middlebox('firewall'),define intent buildIntent: for endpoint('university') add middlebox('firewall') allow service('PC Telephone'),True
13,POP3 and secure POP are allowed by the University firewall,"define intent buildIntent: for endpoint('University') allow protocol('POP3'), protocol('secure POP') add middlebox('firewall')","define intent buildIntent: for endpoint('university') add middlebox('firewall') allow protocol('POP3'), protocol('secure POP')",True
14,SMTP is allowed by the University firewall,define intent buildIntent: for endpoint('University') allow protocol('SMTP') add middlebox('firewall'),define intent buildIntent: for endpoint('university') add middlebox('firewall') allow protocol('SMTP'),True
15,Sony Playstation 2 is allowed by the University firewall,define intent buildIntent: for endpoint('University') allow service('Sony Playstation 2') add middlebox('firewall'),define intent buildIntent: for endpoint('university') add middlebox('firewall') allow service('Sony Playstation 2'),True
16,SSH is allowed by the University firewall,define intent buildIntent: for endpoint('University') allow protocol('SSH') add middlebox('firewall'),define intent buildIntent: for endpoint('university') add middlebox('firewall') allow protocol('SSH'),True
17,Telnet is allowed by the University firewall,define intent buildIntent: for endpoint('University') allow protocol('telnet') add middlebox('firewall'),define intent buildIntent: for endpoint('university') add middlebox('firewall') allow protocol('Telnet'),True
18,Sorenson Videophone 200 is allowed by the University firewall,define intent buildIntent: for endpoint('University') allow service('Sorenson Videophone 200') add middlebox('firewall'),define intent buildIntent: for endpoint('university') add middlebox('firewall') allow service('Sorenson Videophone 200'),True
19,FTP and SFTP servers are allowed by the University firewall,"define intent buildIntent: for endpoint('University') allow protocol('ftp'), protocol('SFTP') add middlebox('firewall')","define intent buildIntent: for endpoint('university') add middlebox('firewall') allow protocol('ftp'), protocol('sftp')",True
20,Students data limit is 100 GB per week,"define intent buildIntent: for group('students') set quota('download', '100', 'gb/wk')","define intent buildIntent: for group('students') set quota('download', '100', 'gb/wk')",True
21,Students 10 GB a day download quotas are on 10 AM to Midnight,"define intent buildIntent: for group('students') set quota('download', '10', 'gb/d') end hour('24:00')","define intent buildIntent: for group('students') set quota('download', '10', 'gb/d') start hour('10:00') end hour('23:59')",False
22,The system passively monitors the network throughput when traffic is light,define intent buildIntent: for endpoint('network') add middlebox('traffic monitor'),define intent buildIntent: for endpoint('network') add middlebox('traffic monitor'),True
23,"There is a 6 GB per 24-hour period upload or download data transfer limit starting at midnight of each day, on all of your combined traffic on ResNet and UIC wireless","define intent buildIntent: for endpoint('UIC wireless'), endpoint('dorms') set quota('any', '6', 'gb/d') start hour('24:00')","define intent buildIntent: for endpoint('dorms'), endpoint('wireless') set quota('any', '6', 'gb/d') start hour('00:00') end hour('23:59')",True
24,Guests cannot run any file sharing/downloading program,define intent buildIntent: for endpoint('guests') block service('file sharing/downloading'),define intent buildIntent: for endpoint('guests') block service('file transfer'),True
25,"No individual service or system running on the wired/wireless network should use more than 10 gigabytes of per day, regardless of whether it is inbound or outbound over the commodity network link","define intent buildIntent: for endpoint('hosts'), endpoint('network') set quota('any', '10', 'gigabytes of per day')","define intent buildIntent: for endpoint('network') set quota('any', '10', 'gb/d')",True
26,The system will trigger an overuse notification if the average for either inbound or outbound usage exceeds 10 GB per week,"define intent buildIntent: for endpoint('network') add middlebox('overuse notification') set quota('any', '10', 'gb/wk')","define intent buildIntent: for endpoint('network') add middlebox('overuse notification') set quota('any', '10', 'gb/wk')",True
27,Quotas for students are 5000 Megabyte per hr download and 2000 Megabyte per hr upload,"define intent buildIntent: for group('students') set quota('any', '5000', 'Megabyte per hr')","define intent buildIntent: for group('students') set quota('download', '5000', 'mb/h'), quota('upload', '2000', 'mb/h')",True
28,Routers or anything else that does routing or NAT are prohibited from MITNet as they interfere with the operation of the network,define intent buildIntent: for endpoint('MITNet') block protocol('NAT'),define intent buildIntent: for endpoint('dorms') block protocol('nat'),True
29,"When a total of 18 gigabytes of data is reached, the individual's bandwidth rate limit is set to 2 Mbps","define intent buildIntent: for endpoint('hosts') set quota('download', '18', 'gb'), bandwidth('max', '2', 'mbps')","define intent buildIntent: for endpoint('host') set quota('download', '18', 'gb'), bandwidth('max', '2', 'mbps')",True
30,The individual will have a 4 Mbps bandwidth rate limit,"define intent buildIntent: for endpoint('hosts') set bandwidth('max', '4', 'mbps')","define intent buildIntent: for endpoint('host') set bandwidth('max', '4', 'mbps')",True
31,"RHIT-OPEN will work in labs, classrooms and residence halls but does not allow the user to access the internal Rose-Hulman network","define intent buildIntent: for group('host'), endpoint('RHIT-OPEN'), endpoint('servers'), endpoint('the') block traffic('to access')",define intent buildIntent: from endpoint('guests') to endpoint('servers') for group('host') block traffic('any'),False
32,"You may not run FTP, telnet, peer-to-peer, HTTP, IRC, DNS and mail servers on ResNet or UIC wireless-connected devices","define intent buildIntent: for endpoint('dorms'), endpoint('UIC wireless-connected') block service('irc'), service('email') traffic('torrent') protocol('ftp'), protocol('telnet'), protocol('HTTP'), protocol('DNS')","define intent buildIntent: for endpoint('dorms'), endpoint('wireless') block protocol('ftp'), protocol('telnet'), traffic('peer2peer'), protocol('http'), service('irc'), protocol('dns'), service('email')",True
33,Students have 200 GB of Free monthly usage,"define intent buildIntent: for group('students') set quota('download', '200', 'gb/mth')","define intent buildIntent: for group('students') set quota('download', '200', 'gb/mth')",True
34,Faculty members have 500 Gb per week of free network use,"define intent buildIntent: for group('professors') set quota('download', '500', 'gb/wk')","define intent buildIntent: for group('professors') set quota('download', '500', 'gb/wk')",True
35,Students have a quota of 5 GB per day The quota is reset at  6am,"define intent buildIntent: for group('students') set quota('download', '5', 'GB per day') start hour('['06:00']')","define intent buildIntent: for group('students') set quota('download', '5','gb/d') start hour('06:00') end('05:59')",True
