Example,Lumi Precision,Lumi Recall,Lumi F1,LLM Precision,LLM Recall,LLM F1,Lumi TP,Lumi Total,Lumi FP,LLM TP,LLM Total,LLM FP
1,0.5,0.42857142857142855,0.4615384615384615,0.8,0.5714285714285714,0.6666666666666665,3,7,3,4,7,1
2,0.2857142857142857,0.4,0.3333333333333333,0.75,0.6,0.6666666666666665,2,5,5,3,5,1
3,1.0,0.14285714285714285,0.25,1.0,0.8571428571428571,0.923076923076923,1,7,0,6,7,0
4,0.5,0.5714285714285714,0.5333333333333333,1.0,0.5714285714285714,0.7272727272727273,4,7,4,4,7,0
5,1.0,0.2,0.3333333333333333,1.0,0.6,0.7499999999999999,1,5,0,3,5,0
6,0.0,0.0,0.0,1.0,1.0,1.0,0,8,3,8,8,0
7,0.5,0.4,0.4444444444444444,1.0,0.8,0.8888888888888888,2,5,2,4,5,0
8,0.5,0.25,0.3333333333333333,1.0,1.0,1.0,1,4,1,4,4,0
9,0.6666666666666666,0.5,0.5714285714285715,1.0,0.5,0.6666666666666666,2,4,1,2,4,0
10,0.6,0.42857142857142855,0.5,1.0,0.7142857142857143,0.8333333333333333,3,7,2,5,7,0
11,0.07692307692307693,0.16666666666666666,0.10526315789473685,0.8,0.6666666666666666,0.7272727272727272,1,6,12,4,6,1
12,0.3333333333333333,0.2,0.25,0.75,0.6,0.6666666666666665,1,5,2,3,5,1
13,0.0,0.0,0.0,1.0,0.6,0.7499999999999999,0,5,4,3,5,0
Total,0.3392857142857143,0.28955223880597015,0.3120567375886525,0.9178082191780822,0.7380952380952381,0.8181818181818181,21,75,39,52,75,4
